4312s - 2008 through 2011									
Filled Catalog Item Name: KIT - COMMAND REPEATER AND Inc Calendar Year: 									
Inc Number: Ascending order; Req Number Sort Key: Ascending order									
Inc Calendar Year: 2008									
Inc GACC Org Name: Northern California Coordination Center									
Inc Disp Org Name	Inc Number	Inc Name	Inc Type	Req Number	Assignment Name	Res Prov Org Unit Code	Mob ETD	Demob ETA	Days Assigned
Yreka Interagency ECC	CA-KNF-002975	SISKIYOU COMPLEX	Fire - Wildfire	E-18.7	Kit Command Repeater-4312-C133 (4312) (ID-FCK)	ID-FCK	"Jun 22, 2008 8:50:00 AM"	"Aug 22, 2008 12:00:00 PM"	62
Yreka Interagency ECC	CA-KNF-002975	SISKIYOU COMPLEX	Fire - Wildfire	E-85	Kit Command Repeater-4312-C097 (ID-FCK)	ID-FCK	"Jun 26, 2008 4:25:00 PM"	"Sep 30, 2008 12:00:00 PM"	97
Yreka Interagency ECC	CA-KNF-002975	SISKIYOU COMPLEX	Fire - Wildfire	E-148	Kit Command Repeater-4312-C151 (ID-FCK)	ID-FCK	"Jul 2, 2008 4:00:00 PM"	"Jul 25, 2008 3:05:00 PM"	24
Yreka Interagency ECC	CA-KNF-002975	SISKIYOU COMPLEX	Fire - Wildfire	E-195	Kit Command Repeater-4312-C212 (ID-FCK)	ID-FCK	"Jul 9, 2008 6:50:00 PM"	"Sep 26, 2008 12:00:00 PM"	80
Yreka Interagency ECC	CA-KNF-002975	SISKIYOU COMPLEX	Fire - Wildfire	E-205	Kit Command Repeater-4312-C202 (ID-FCK)	ID-FCK	"Jul 10, 2008 7:30:00 AM"	"Sep 30, 2008 12:00:00 PM"	83
Yreka Interagency ECC	CA-KNF-002975	SISKIYOU COMPLEX	Fire - Wildfire	E-265	Kit Command Repeater-4312-C007 (ID-FCK)	ID-FCK	"Jul 14, 2008 6:35:00 PM"	"Sep 26, 2008 7:00:00 AM"	75
Yreka Interagency ECC	CA-KNF-003624	PANTHER	Fire - Wildfire	E-47.1	Kit Command Repeater-4312-C101 (ID-FCK)	ID-FCK	"Jul 28, 2008 11:30:00 AM"	"Aug 24, 2008 12:00:00 PM"	28
Yreka Interagency ECC	CA-KNF-003624	PANTHER	Fire - Wildfire	E-165	Kit Command Repeater-4312-C131 (ID-FCK)	ID-FCK	"Jul 31, 2008 6:20:00 AM"	"Aug 24, 2008 10:00:00 PM"	25
Yreka Interagency ECC	CA-KNF-003624	PANTHER	Fire - Wildfire	E-250	Kit Command Repeater-4312-C124 (ID-FCK)	ID-FCK	"Aug 9, 2008 7:05:00 PM"	"Aug 24, 2008 10:00:00 PM"	16
Yreka Interagency ECC	CA-KNF-003624	PANTHER	Fire - Wildfire	E-280	Kit Command Repeater-4312-C075 (ID-FCK)	ID-FCK	"Aug 14, 2008 4:55:00 PM"	"Aug 24, 2008 10:00:00 PM"	11
Yreka Interagency ECC	CA-KNF-003624	PANTHER	Fire - Wildfire	E-281	Kit Command Repeater-4312-C193 (ID-FCK)	ID-FCK	"Aug 14, 2008 4:55:00 PM"	"Aug 21, 2008 10:00:00 PM"	8
Yreka Interagency ECC	CA-KNF-003624	PANTHER	Fire - Wildfire	E-442.1	Kit Command Repeater-4312-C025 (4312) (ID-FCK)	ID-FCK	"Oct 4, 2008 8:00:00 AM"	"Dec 9, 2008 12:00:00 AM"	67
Mendocino Interagency ECC	CA-MNF-000663	YOLLA BOLLY COMPLEX	Fire - Wildfire	E-1.1	Kit Command Repeater-4312-C123 - C22 (ID-FCK)	ID-FCK	"Jun 30, 2008 12:20:00 PM"	"Jul 8, 2008 10:00:00 PM"	9
Mendocino Interagency ECC	CA-MNF-000663	YOLLA BOLLY COMPLEX	Fire - Wildfire	E-15	Kit Command Repeater-4312-C083 (ID-FCK)	ID-FCK	"Jul 1, 2008 8:10:00 PM"	"Jul 8, 2008 10:00:00 PM"	8
Mendocino Interagency ECC	CA-MNF-000663	YOLLA BOLLY COMPLEX	Fire - Wildfire	E-67.4	Kit Command Repeater-4312-C086  (ID-FCK)	ID-FCK	"Jul 23, 2008 9:45:00 AM"	"Aug 21, 2008 4:10:00 PM"	30
Mendocino Interagency ECC	CA-MNF-000663	YOLLA BOLLY COMPLEX	Fire - Wildfire	E-175	Kit Command Repeater-4312-C152 (4312) (ID-FCK)	ID-FCK	"Jul 27, 2008 3:40:00 PM"	"Aug 4, 2008 9:55:00 AM"	9
Mendocino Interagency ECC	CA-MNF-000663	YOLLA BOLLY COMPLEX	Fire - Wildfire	E-227	Kit Command Repeater-4312-C084  (ID-FCK)	ID-FCK	"Jul 25, 2008 6:00:00 AM"	"Aug 4, 2008 8:45:00 PM"	11
